Country_of_Origin,Region,Total_Cup_Points
Ethiopia,guji-hambela,90.58
Ethiopia,guji-hambela,89.92
Guatemala,,89.75
Ethiopia,oromia,89.0
Ethiopia,guji-hambela,88.83
Brazil,,88.83
Peru,,88.75
Ethiopia,oromia,88.67
Ethiopia,oromiya,88.42
Ethiopia,"snnp/kaffa zone,gimbowereda",88.25
Ethiopia,oromia,88.08
United States,antioquia,87.92
United States,antioquia,87.92
United States (Hawaii),kona,87.92
Ethiopia,oromiya,87.83
United States,antioquia,87.58
Indonesia,sulawesi,87.42
Ethiopia,yirgacheffe,87.33
China,yunnan,87.25
Ethiopia,gedio,87.25
United States,antioquia,87.25
Costa Rica,san ramon,87.17
Mexico,xalapa,87.17
United States,antioquia,87.08
Ethiopia,sidamo,87.08
Brazil,south of minas,86.92
Ethiopia,sidamo,86.92
Uganda,kapchorwa eastern,86.83
Honduras,comayagua,86.67
Taiwan,"leye, alishan township, chiayi county",86.58
Nicaragua,,86.58
"Tanzania, United Republic Of",,86.5
Brazil,vale da grama,86.42
Costa Rica,west and central valley,86.33
Ethiopia,oromia,86.25
Kenya,muranga,86.25
United States (Hawaii),kona,86.25
United States (Hawaii),kona,86.25
Ethiopia,yirgacheffe,86.25
United States,antioquia,86.17
Thailand,chiang rai,86.17
Brazil,sul de minas - carmo de minas,86.17
Brazil,sul de minas - carmo de minas,86.17
Taiwan,natou county,86.08
Kenya,nyeri,86.08
Brazil,south of minas,86.08
Uganda,eastern uganda,86.0
Colombia,tolima,86.0
Kenya,kiambu,86.0
Uganda,"sipi, mt elgon",86.0
Ethiopia,sidamo,86.0
United States (Hawaii),kona,86.0
Guatemala,nuevo oriente,85.92
Uganda,eastern,85.92
Colombia,huila,85.92
Panama,boquete,85.83
Ethiopia,oromia,85.83
Guatemala,acatenango,85.83
Guatemala,nuevo oriente,85.83
Ethiopia,addis ababa,85.75
Peru,cajamarca,85.75
Papua New Guinea,eastern highlands province,85.75
El Salvador,apaneca,85.58
El Salvador,"ataco, apaneca - ilamatepec mountain range",85.58
United States (Hawaii),kona,85.58
Panama,boquete,85.5
Kenya,kirinyaga,85.5
Ethiopia,oromia,85.5
Uganda,bulambuli eastern region,85.5
Guatemala,huehuetenango,85.5
Ethiopia,oromia,85.42
Uganda,kapchorwa,85.42
United States (Hawaii),kona,85.42
Brazil,south of minas,85.42
El Salvador,apaneca,85.42
China,yunnan,85.33
Guatemala,huehuetenango,85.33
Costa Rica,west valley,85.33
Costa Rica,san ramon,85.33
Kenya,central kenya,85.33
Kenya,central kenya,85.33
Ethiopia,yirgacheffe,85.33
Ethiopia,yirgacheffe,85.33
Guatemala,oriente,85.25
Colombia,santander,85.25
Colombia,santander,85.25
Indonesia,lintong,85.17
Guatemala,huehuetenango,85.17
Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",85.08
Colombia,pasto,85.08
Ethiopia,aricha,85.08
United States (Hawaii),kona,85.08
Colombia,cundinamarca,85.08
United States (Hawaii),kona,85.08
Ethiopia,sidamo,85.08
United States (Hawaii),kona,85.08
Uganda,eastern uganda,85.0
Colombia,huila,85.0
Costa Rica,tarrazu,85.0
Mexico,veracruz,85.0
Kenya,,85.0
Kenya,central kenya,85.0
Brazil,grama valley,85.0
Mexico,mexico,85.0
United States (Hawaii),kona,85.0
Guatemala,"chuva, san marcos",85.0
Colombia,huila,84.92
Colombia,huila,84.92
Taiwan,natou county,84.92
"Tanzania, United Republic Of",mbeya,84.92
Colombia,huila,84.92
Mexico,coatepec,84.92
Brazil,south of minas,84.92
Brazil,south of minas,84.92
Kenya,,84.92
Taiwan,"dongshan dist., tainan city  ",84.83
Uganda,eastern,84.83
United States (Hawaii),kona,84.83
Ethiopia,sidamo,84.83
Ethiopia,sidamo,84.83
Thailand,thailand,84.75
Kenya,nyeri,84.75
Honduras,marcala,84.75
El Salvador,santa ana,84.75
Nicaragua,jinotega,84.75
El Salvador,apaneca,84.67
Indonesia,"temanggung, indonesia",84.67
Japan,ada okinawa japan,84.67
Costa Rica,tarrazu,84.67
Guatemala,acatenango,84.67
Costa Rica,tarrazu,84.67
Ethiopia,yirgacheffe,84.67
Costa Rica,costa rica,84.67
Costa Rica,west valley,84.67
Costa Rica,,84.67
Taiwan,taichung xinshe New Community,84.67
Colombia,santander,84.67
Kenya,nyeri,84.67
Guatemala,oriente,84.67
Guatemala,acatenango,84.67
Mexico,el remudadero,84.67
Uganda,mbale,84.67
Peru,"penachi, cecanor",84.67
Ethiopia,sidamo,84.67
Kenya,nyeri,84.58
Colombia,santander,84.58
Colombia,huila,84.58
Kenya,nyeri,84.58
Guatemala,jalapa,84.58
Guatemala,oriente,84.58
Colombia,santander,84.58
Colombia,huila,84.58
Kenya,,84.58
Colombia,huila,84.58
Costa Rica,tres rios,84.58
Colombia,huila,84.58
Brazil,vale da grama,84.58
Brazil,mountains of minas gerais,84.58
Costa Rica,valle central,84.5
Uganda,eastern uganda,84.5
China,yunnan,84.5
Costa Rica,tarrazu,84.5
Colombia,cauca,84.5
China,yunnan,84.5
Guatemala,oriente,84.5
Kenya,nyeri,84.5
Mexico,hustusco,84.5
Mexico,jaltenango,84.5
Guatemala,"el tumbador, san marcos",84.5
Brazil,mmm,84.5
Brazil,test,84.5
Costa Rica,tarrazu,84.42
Indonesia,sumatra brastagi,84.42
Colombia,pitalito,84.42
Colombia,huila,84.42
Taiwan,"mountain ali, taiwan",84.42
United States (Hawaii),kona,84.42
Mexico,tapachula,84.42
Ethiopia,limu,84.42
Kenya,nyeri,84.33
Honduras,comayagua,84.33
Colombia,huila,84.33
Honduras,central region,84.33
Colombia,la plata,84.33
Colombia,huila,84.33
Colombia,huila,84.33
Mexico,tuxtla gutierrez,84.33
Brazil,vale da grama,84.33
Brazil,south of minas,84.33
Ethiopia,limu,84.33
Guatemala,nuevo oriente,84.33
Taiwan,  guoshing township,84.25
Thailand,chiang rai thailand,84.25
Colombia,nariño,84.25
Guatemala,antigua,84.25
Guatemala,huehuetenango,84.25
China,yunnan,84.25
Colombia,huila,84.25
Colombia,huila,84.25
Colombia,cauca,84.25
Colombia,huila,84.25
"Tanzania, United Republic Of",shizingo village,84.25
"Tanzania, United Republic Of",mbeya,84.25
Guatemala,oriente,84.25
Colombia,cauca,84.25
United States (Hawaii),kona,84.25
Mexico,san pedro cotzilnam,84.25
Mexico,veracruz,84.25
Mexico,"la concordia, chiapas",84.25
Uganda,kasese,84.25
Guatemala,san marcos,84.17
Colombia,huila,84.17
Costa Rica,tarrazu,84.17
Guatemala,huehuetenango,84.17
Guatemala,solola,84.17
Guatemala,norte,84.17
Colombia,huila,84.17
Nicaragua,jinotega,84.17
Brazil,cerrado,84.17
Costa Rica,tarrazu,84.17
Ethiopia,snnprg; kafa; telo woreda; shada kebele,84.17
"Tanzania, United Republic Of",arusha,84.17
Colombia,huila,84.17
Guatemala,,84.17
Kenya,kenya,84.17
Brazil,"minas gerais, br",84.17
Guatemala,oriente,84.17
El Salvador,apaneca,84.17
Colombia,huila,84.17
Guatemala,guatemala,84.17
Uganda,mt. rwenzori,84.17
Indonesia,aceh tengah,84.13
Colombia,huila,84.08
Taiwan,"nanxi dist., tainan city  ",84.08
Guatemala,oriente,84.08
Colombia,huila,84.08
Guatemala,"aldea xeucalvitz, ixil region, quiche department",84.08
United States (Hawaii),kona,84.08
Mexico,santo domingo cacalotepec,84.08
Ethiopia,"ethiopia, sidamo",84.08
Costa Rica,,84.0
Ethiopia,sidamo,84.0
Honduras,comayagua,84.0
Guatemala,huehuetenango,84.0
Colombia,huila,84.0
Guatemala,oriente,84.0
Guatemala,oriente,84.0
Colombia,huila,84.0
Colombia,santander,84.0
Colombia,huila,84.0
Ethiopia,sidamo,84.0
Brazil,south of minas,84.0
Colombia,cauca,84.0
Kenya,blend,84.0
Thailand,thailand,84.0
Kenya,central kenya,84.0
Uganda,kasese,84.0
Thailand,,84.0
Brazil,south of minas,83.92
Mexico,veracruz,83.92
Thailand,chiangrai,83.92
Brazil,south of minas,83.92
Taiwan,"leye, alishan township, chiayi county Chiayi AlishanRaku Nomura",83.92
Colombia,huila,83.92
Colombia,la plata,83.92
Taiwan,Taiwan,83.92
Colombia,huila,83.92
Colombia,huila,83.92
Colombia,huila,83.92
Taiwan, Taichung Peace District,83.92
Colombia,santander,83.92
Mexico,xicotepec de juarez,83.92
Mexico,la concordia,83.92
Mexico,la yerbabuena,83.92
Colombia,nariño,83.83
Colombia,huila,83.83
Costa Rica,tarrazu,83.83
Guatemala,antigua,83.83
Taiwan,Taiwan,83.83
Brazil,south of minas,83.83
Taiwan,"dongshan dist., tainan city  ",83.83
Ethiopia,oromia,83.83
Brazil,south of minas,83.83
Costa Rica,central valley,83.83
Guatemala,oriente,83.83
Brazil,south of minas,83.83
Ecuador,"province of manabi, ecuador",83.83
Colombia,huila,83.83
Guatemala,oriente,83.83
Mexico,petatlan,83.83
Mexico,"la concordia, chiapas",83.83
Brazil,carmo de minas,83.83
Thailand,"doi chaang village, chiang rai, thialand",83.83
Thailand,,83.83
Ethiopia,sidamo,83.83
Kenya,nyeri,83.75
Brazil,south of minas,83.75
Colombia,huila,83.75
Taiwan,"  (dongshan dist., tainan city)",83.75
Colombia,huila,83.75
China,yunnan,83.75
Colombia,huila,83.75
Uganda,west nile,83.75
United States (Puerto Rico),yauco region,83.75
Colombia,huila,83.75
Colombia,huila,83.75
Colombia,huila,83.75
Colombia,huila,83.75
United States (Hawaii),kona,83.75
Mexico,"huazalingo, hidalgo",83.75
Guatemala,quetzaltenango,83.75
Colombia,cauca,83.75
Colombia,cundinamarca,83.75
United States (Hawaii),kona,83.75
Brazil,south of minas,83.67
Kenya,meru county,83.67
Honduras,comayagua,83.67
Nicaragua,jinotega,83.67
Brazil,south of minas,83.67
Taiwan,"leye, alishan township, chiayi county",83.67
Costa Rica,west valley,83.67
Thailand,thailand,83.67
Colombia,huila,83.67
Guatemala,huehuetenango,83.67
Colombia,huila supremo,83.67
Colombia,huila,83.67
Guatemala,oriente,83.67
Guatemala,oriente,83.67
Colombia,huila,83.67
Guatemala,oriente,83.67
Guatemala,oriente,83.67
Mexico,xicotepec de juarez,83.67
Indonesia,east java,83.67
Guatemala,"sacatepequez, guatemala",83.67
United States (Hawaii),,83.67
Brazil,south of minas,83.58
Guatemala,huehuetenango,83.58
Colombia,huila,83.58
China,yunnan,83.58
Colombia,huila,83.58
Mexico,"chiapas, jaltenango",83.58
Ethiopia,yirgacheffe,83.58
Uganda,eastern,83.58
Colombia,cundinamarca,83.58
Colombia,santander,83.58
Colombia,santander,83.58
Taiwan,taichung xinshe New Community,83.58
Colombia,huila,83.58
Mexico,xalapa,83.58
Colombia,cundinamarca,83.58
Brazil,south of minas,83.58
Colombia,cundinamarca,83.5
Taiwan,,83.5
Costa Rica,tarrazu,83.5
Colombia,pitalito,83.5
Guatemala,oriente,83.5
Colombia,huila,83.5
"Tanzania, United Republic Of",nkure- meru,83.5
Indonesia,bener meriah,83.5
Ethiopia,oromia,83.5
Colombia,huila,83.5
Colombia,huila,83.5
Guatemala,atitlan,83.5
Colombia,cundinamarca,83.5
Honduras,comayagua,83.5
Colombia,huila,83.5
Colombia,huila,83.5
Mexico,xalapa,83.5
Mexico,chilón,83.5
Mexico,totutla,83.5
Guatemala,atitlan,83.5
Colombia,huila,83.5
Guatemala,oriente,83.5
United States (Hawaii),,83.5
Indonesia,bondowoso,83.5
Colombia,huila,83.42
Guatemala,san marcos,83.42
Colombia,huila,83.42
Costa Rica,tarrazu,83.42
Taiwan,,83.42
Uganda,eastern,83.42
Thailand,thailand,83.42
El Salvador,apaneca,83.42
Colombia,huila,83.42
Brazil,vale da grama,83.42
"Tanzania, United Republic Of",karatu northern,83.42
Colombia,huila,83.42
Guatemala,oriente,83.42
Guatemala,antigua,83.42
Guatemala,oriente,83.42
United States (Hawaii),kona,83.42
Colombia,cundinamarca,83.42
Colombia,huila,83.42
United States (Hawaii),kona,83.42
Thailand,,83.42
Mexico,nayarit,83.38
Colombia,huila,83.33
Colombia,guayata,83.33
Colombia,huila,83.33
Brazil,south of minas,83.33
Mexico,chiapas,83.33
Colombia,santander,83.33
"Tanzania, United Republic Of",arusha,83.33
Mexico,veracruz,83.33
Costa Rica,san ramon,83.33
United States (Hawaii),kona,83.33
Costa Rica,central valley,83.33
Peru,,83.33
Haiti,"thiotte, haiti",83.33
Colombia,pitalito,83.33
Guatemala,oriente,83.33
United States (Hawaii),kona,83.33
Burundi,kayanza,83.33
Colombia,huila,83.33
United States (Hawaii),kona,83.33
United States (Hawaii),,83.33
Mexico,sierra madre occidental,83.25
Costa Rica,tarrazu,83.25
Costa Rica,tarrazu,83.25
Guatemala,nuevo oriente,83.25
Uganda,"sipi, mt elgon",83.25
Brazil,campos altos - cerrado,83.25
Colombia,huila,83.25
Mexico,cuarenteño,83.25
Taiwan,natou county,83.25
Taiwan,Nantou country,83.25
Colombia,eje cafetero,83.25
Guatemala,antigua,83.25
Colombia,huila,83.25
Mexico,chiapas,83.25
United States (Hawaii),kona,83.25
Mexico,veracruz,83.25
Mexico,fortín de las flores,83.25
Guatemala,oriente,83.25
Brazil,grama valley,83.25
Colombia,huila,83.25
Colombia,la plata,83.25
Colombia,huila,83.25
Colombia,cauca,83.25
Colombia,cundinamarca,83.25
Brazil,south of minas,83.17
Guatemala,oriente,83.17
"Tanzania, United Republic Of",moshi,83.17
Peru,,83.17
Vietnam,dala,83.17
Guatemala,antigua,83.17
Honduras,marcala,83.17
China,yunnan,83.17
China,dehong prefecture,83.17
El Salvador,apaneca,83.17
Guatemala,antigua,83.17
Guatemala,oriente,83.17
Kenya,kenya,83.17
Thailand,thailand,83.17
"Tanzania, United Republic Of",mbinga,83.17
Colombia,huila,83.17
Uganda,eastern,83.17
Colombia,,83.17
Honduras,san marcos,83.17
Honduras,comayagua,83.17
Guatemala,san marcos,83.17
United States (Hawaii),kona,83.17
"Tanzania, United Republic Of",kilimanjaro,83.17
Guatemala,oriente,83.17
Mexico,chiapas,83.17
Mexico,"tlanchinol, hidalgo",83.17
Mexico,san bartolo tutotepec,83.17
Colombia,huila,83.17
Mexico,san isidro,83.17
Colombia,huila,83.17
Mexico,la concordia,83.17
Brazil,south of minas,83.17
Brazil,mogiana,83.17
Guatemala,oriente,83.17
Brazil,south of minas,83.17
Brazil,south of minas,83.17
El Salvador,santa ana,83.17
Ethiopia,limu,83.17
Colombia,cundinamarca,83.08
Colombia,huila,83.08
Brazil,south of minas,83.08
Brazil,south of minas,83.08
Taiwan,"dongshan dist., tainan city  ",83.08
Brazil,chapadão de ferro (cerrado mineiro),83.08
Brazil,south of minas,83.08
Costa Rica,central valley,83.08
United States (Hawaii),kona,83.08
Taiwan,chiayi alishan  ,83.08
United States (Hawaii),kona,83.08
Mexico,santa catarina juquila,83.08
United States (Hawaii),kona,83.08
United States (Hawaii),kona,83.08
Colombia,huila,83.08
Colombia,cauca,83.08
Indonesia,dolok sanggul,83.08
Guatemala,,83.08
Brazil,south of minas,83.0
Brazil,south of minas,83.0
Brazil,south of minas,83.0
Uganda,"kasese, mt. rwenzori",83.0
Uganda,"kasese, mt. rwenzori",83.0
Colombia,huila,83.0
Vietnam,vietnam cau dat,83.0
Guatemala,nuevo oriente,83.0
Guatemala,"el tumbador, san marcos",83.0
Guatemala,antigua,83.0
Brazil,high mogiana,83.0
Taiwan,Chiayi Alishan,83.0
Uganda,kapchorwa,83.0
United States (Puerto Rico),yauco region,83.0
Guatemala,antigua,83.0
Costa Rica,central valley,83.0
Brazil,sul de minas,83.0
Colombia,huila,83.0
Colombia,huila,83.0
Colombia,pitalito,83.0
Colombia,pitalito,83.0
Colombia,huila,83.0
Mexico,coatepec,83.0
Mexico,atoyac de alvarez,83.0
Mexico,coatepec,83.0
Colombia,,83.0
Colombia,huila,83.0
Colombia,huila,83.0
Guatemala,"la reforma, san marcos",83.0
Colombia,la plata,83.0
Thailand,,83.0
Colombia,cauca,83.0
United States (Hawaii),,83.0
United States (Hawaii),,83.0
Colombia,huila,83.0
Nicaragua,matagalpa,83.0
Thailand,,83.0
Brazil,south of minas,82.92
El Salvador,apaneca,82.92
Colombia,guayata,82.92
Taiwan,"dongshan dist., tainan city  ",82.92
Ethiopia,"blida,kercha,guji,oromia",82.92
Taiwan,Taitung Taimali,82.92
Philippines,"bukidnon, mindanao, philppines",82.92
Philippines,asia pacific,82.92
Mexico,cuarenteño,82.92
Mexico,chiapas,82.92
Brazil,cerrado,82.92
Uganda,eastern,82.92
Uganda,west nile,82.92
Guatemala,antigua,82.92
Guatemala,antigua,82.92
Guatemala,,82.92
Colombia,huila,82.92
Colombia,huila,82.92
Guatemala,huehuetenango,82.92
Colombia,antioquia,82.92
Mexico,petatlan,82.92
Vietnam,don duong,82.92
Mexico,la cumbre,82.92
United States (Hawaii),kona,82.92
Colombia,cauca,82.92
Thailand,,82.92
Kenya,nyeri,82.83
Guatemala,san marcos,82.83
Brazil,south of minas,82.83
El Salvador,"el balsamo, quezaltepec",82.83
Rwanda,gicumbi,82.83
Vietnam,vietnam tutra,82.83
Guatemala,oriente,82.83
Brazil,cerrado,82.83
Colombia,huila,82.83
United States,berastagi,82.83
Guatemala,antigua,82.83
Colombia,santander,82.83
Colombia,huila,82.83
"Tanzania, United Republic Of",arusha,82.83
Mexico,la concordia,82.83
Mexico,veracruz,82.83
Guatemala,oriente,82.83
Mexico,la concordia,82.83
El Salvador,santa ana,82.83
Guatemala,santa rosa,82.75
Guatemala,santa rosa,82.75
Guatemala,san marcos,82.75
Guatemala,santa rosa,82.75
Guatemala,oriente,82.75
Indonesia,sapan toraja,82.75
Guatemala,el progreso,82.75
Taiwan," ( dongshan dist., tainan city)",82.75
El Salvador,cacahuatique,82.75
Costa Rica,tarrazu,82.75
Honduras,comayagua,82.75
Brazil,south of minas,82.75
China,yunnan,82.75
China,menglian,82.75
Colombia,huila,82.75
Malawi,mzuzu,82.75
Guatemala,jalapa,82.75
Colombia,huila,82.75
United States (Hawaii),kona,82.75
United States (Hawaii),kona,82.75
Colombia,antioquia,82.75
Mexico,chiapas,82.75
Mexico,veracruz,82.75
Mexico,atoyac de alvarez,82.75
Colombia,south huila,82.75
Colombia,huila,82.75
United States (Hawaii),kona,82.75
Panama,boquete,82.75
United States (Hawaii),kona,82.75
Brazil,south of minas,82.67
Brazil,south of minas,82.67
Laos,"paksong,laos",82.67
El Salvador,"el balsamo, quezaltepec",82.67
Mexico,veracruz,82.67
Colombia,huila,82.67
Brazil,south of minas,82.67
Brazil,monte carmelo,82.67
"Tanzania, United Republic Of",karatu arusha,82.67
"Tanzania, United Republic Of",mbinga,82.67
Taiwan,Chiayi Alishan,82.67
Mexico,la yerba,82.67
Uganda,mt elgon,82.67
Taiwan,chiayi alishan  ,82.67
Thailand,phahi,82.67
Colombia,huila,82.67
El Salvador,,82.67
Guatemala,antigua,82.67
Thailand,thailand,82.67
Mexico,,82.67
Mexico,mahuixtlan,82.67
Colombia,52 narino (exact location: mattituy; municipal region: florida code 381,82.67
United States (Hawaii),kona,82.67
Mexico,mexico,82.67
Colombia,huila,82.67
Colombia,,82.67
Guatemala,oriente,82.58
Taiwan,  guoshing township,82.58
Brazil,south of minas,82.58
Taiwan,changhua baguashan  ,82.58
Brazil,campos altos - cerrado,82.58
Indonesia,aceh,82.58
Thailand,thailand,82.58
Thailand,chiangrai,82.58
"Tanzania, United Republic Of",ikand village,82.58
Uganda,eastern,82.58
Costa Rica,central valley,82.58
Mexico,veracruz,82.58
Guatemala,,82.58
Colombia,huila,82.58
Colombia,huila,82.58
Colombia,huila,82.58
Mexico,oaxaca,82.58
Mexico,colima,82.58
Colombia,huila,82.58
Brazil,south of minas,82.58
Brazil,south of minas,82.5
Indonesia,bali,82.5
Honduras,comayagua,82.5
Guatemala,oriente,82.5
Thailand,thailand,82.5
Thailand,chiangrai,82.5
"Tanzania, United Republic Of",karatu arusha,82.5
"Tanzania, United Republic Of",moshi,82.5
Mexico,chiapas,82.5
Brazil,south of minas,82.5
Guatemala,oriente,82.5
Colombia,huila,82.5
Guatemala,oriente,82.5
Mexico,san bartolo tutotepec,82.5
Mexico,zapotitlan de mendez,82.5
Mexico,la concordia,82.5
Guatemala,oriente,82.5
Brazil,carmo de minas,82.5
Colombia,huila,82.5
United States (Hawaii),kona,82.5
